0209,       0,Rozpalanie
0245,       0,Tryb pomp
0298,       0,Godzina regulatora
0299,       0,Dzień tygodnia regulatora
0371,       0,---
1587,       0,Podajnik
1588,       0,Wentylator nadmuchu
1589,       0,Pompa CO
1591,       0,---
1592,       1,---
1614,     200,Temperatura zaworu
1616,      41,Ustawiona temperatura CWU
1620,    4866,Ustawiona godzina sterownika
1621,       2,Ustawiony dzień tygodnia sterownika
1624,       2,Typ zaworu
1680,       1,Stan zaworu
1681,     140,Zmierzona temperatura zewnętrzna
last_status,INF: frame ok,---
last_good_frame,Niedz, 25 Wrz 2022, 19:02:30,---
01f6,       0,Ustawiona temperatura CO (od regulatora)
020a,       0,Wygaszanie
028e,       0,Ustawiona temperatura CWU (od regulatora)
02f7,       0,Ustawienie wprowadzone zaworu (od regulatora)
157c,       0,Stan sterownika
157d,     210,Zmierzona temperatura CO
157e,      45,Ustawiona temperatura CO
158b,       0,Pompa CWU
159b,       0,Bieg wentylatora nadmuchu
15a7,       5,Typ sterownika
15ac,      15,% otwarcia zaworu wbudowanego
15cd,       2,Tryb pracy pomp
166e,     400,Zmierzona temperatura CWU
167f,      30,Zawór ustawienie wprowadzone
169e,   21805,minMax CO
169f,   19240,minMax CWU
16c2,    3978,Adres zaworu
16c3,   14090,minMax zaworu
16f1,       0,procent paliwa w zasobniku
16f2,       0,orientacyjny czas zapasu paliwa w godzinach (aktualizowane co 5 minut)
16f8,     210,Temperatura podajnika
16f9,       0,Parametr dla poprzedniej wartości
16ff,       6,Typ sterownika??
